Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
presentation_79,10,360,640,title,80,36,280,25
presentation_79,10,360,640,picture,98,248,50,59
presentation_79,10,360,640,text box,222,207,214,27
presentation_79,10,360,640,text box,160,93,274,50
presentation_79,10,360,640,text box,159,252,277,43
presentation_79,10,360,640,picture,98,86,55,61
presentation_79,37,360,640,text box,85,98,366,47
presentation_79,37,360,640,title,85,29,400,39
presentation_79,37,360,640,chart,174,175,185,133
presentation_79,37,360,640,footer,21,338,65,15
presentation_79,16,360,640,picture,78,219,111,113
presentation_79,16,360,640,text box,206,220,331,41
presentation_79,16,360,640,text box,207,276,330,44
presentation_79,16,360,640,title,83,28,504,40
presentation_79,16,360,640,text box,127,332,49,26
presentation_79,16,360,640,footer,22,338,66,15
presentation_79,7,360,640,title,86,29,347,38
presentation_79,7,360,640,text box,84,98,264,31
presentation_79,7,360,640,chart,79,132,244,169
presentation_79,7,360,640,chart,78,149,245,157
presentation_79,7,360,640,footer,22,338,66,14
presentation_79,7,360,640,text box,357,265,217,44
presentation_79,17,360,640,title,87,31,473,38
presentation_79,17,360,640,diagram,89,217,373,60
presentation_79,17,360,640,text box,83,126,108,17
presentation_79,17,360,640,text box,84,180,295,18
presentation_79,17,360,640,text box,84,98,131,20
presentation_79,17,360,640,text box,84,153,122,17
presentation_79,17,360,640,footer,21,338,65,14
presentation_79,30,360,640,text box,83,97,387,42
presentation_79,30,360,640,text box,83,153,367,46
presentation_79,30,360,640,title,85,29,401,39
presentation_79,33,360,640,title,84,28,401,40
presentation_79,33,360,640,text box,83,98,151,19
presentation_79,33,360,640,text box,84,115,428,83
presentation_79,33,360,640,text box,185,193,272,25
presentation_79,33,360,640,footer,22,338,66,15
presentation_79,27,360,640,title,84,27,399,43
presentation_79,27,360,640,text box,84,96,323,59
presentation_79,27,360,640,text box,180,130,226,24
presentation_79,27,360,640,text box,132,193,227,90
presentation_79,27,360,640,footer,22,338,66,15
presentation_79,1,360,640,text box,82,137,456,41
presentation_79,1,360,640,title,82,93,456,39
presentation_79,1,360,640,text box,286,192,249,109
presentation_79,1,360,640,picture,464,194,70,32
presentation_79,1,360,640,text box,426,275,108,28
presentation_79,12,360,640,title,83,28,466,41
presentation_79,12,360,640,footer,21,338,65,15
presentation_79,14,360,640,title,84,28,499,40
presentation_79,14,360,640,text box,82,95,447,116
presentation_79,14,360,640,footer,22,338,66,15
presentation_79,28,360,640,title,82,26,421,54
presentation_79,28,360,640,figure,155,160,277,52
presentation_79,20,360,640,title,86,33,475,35
presentation_79,20,360,640,text box,86,175,274,23
presentation_79,20,360,640,handwriting,152,96,333,53
presentation_79,35,360,640,title,83,28,401,39
presentation_79,35,360,640,text box,83,98,339,24
presentation_79,35,360,640,text box,83,164,236,24
