Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
acl20419,10,768,1020,text box,59,175,896,119
acl20419,10,768,1020,title,57,73,441,48
acl20419,10,768,1020,text box,55,366,471,41
acl20419,10,768,1020,text box,652,724,326,28
acl20419,10,768,1020,figure,187,456,714,37
acl20419,10,768,1020,figure,184,534,541,83
acl20419,7,768,1020,title,56,75,450,47
acl20419,7,768,1020,text box,23,624,964,97
acl20419,7,768,1020,text box,50,197,382,263
acl20419,7,768,1020,text box,504,189,410,232
acl20419,1,768,1020,text box,57,446,773,79
acl20419,1,768,1020,text box,58,310,763,75
acl20419,1,768,1020,text box,56,176,869,79
acl20419,1,768,1020,title,57,75,272,43
acl20419,1,768,1020,text box,651,724,327,29
acl20419,12,768,1020,text box,59,549,778,75
acl20419,12,768,1020,title,61,73,755,46
acl20419,12,768,1020,text box,58,643,905,41
acl20419,12,768,1020,table,53,156,773,374
acl20419,14,768,1020,table,180,176,551,212
acl20419,14,768,1020,title,59,19,815,107
acl20419,14,768,1020,text box,58,570,818,79
acl20419,14,768,1020,text box,57,477,804,73
acl20419,6,768,1020,text box,56,234,840,158
acl20419,6,768,1020,title,55,76,896,49
acl20419,6,768,1020,text box,54,177,594,36
acl20419,6,768,1020,text box,61,628,836,40
acl20419,6,768,1020,text box,57,405,806,68
acl20419,6,768,1020,text box,489,484,156,108
acl20419,6,768,1020,text box,309,491,156,97
acl20419,6,768,1020,text box,651,724,327,29
acl20419,15,768,1020,text box,60,407,845,224
acl20419,15,768,1020,text box,60,271,887,119
acl20419,15,768,1020,title,56,75,278,42
acl20419,15,768,1020,text box,55,178,898,74
acl20419,15,768,1020,text box,652,724,326,28
acl20419,2,768,1020,text box,59,428,816,117
acl20419,2,768,1020,text box,56,179,870,193
acl20419,2,768,1020,title,55,21,490,102
acl20419,2,768,1020,text box,29,625,755,75
acl20419,2,768,1020,text box,652,724,327,29
acl20419,3,768,1020,text box,58,169,830,163
acl20419,3,768,1020,text box,59,364,874,79
acl20419,3,768,1020,title,54,19,579,102
acl20419,3,768,1020,text box,652,724,327,29
acl20419,11,768,1020,text box,59,338,765,77
acl20419,11,768,1020,text box,57,173,893,133
acl20419,11,768,1020,title,54,19,604,101
acl20419,11,768,1020,text box,56,449,784,41
acl20419,11,768,1020,figure,166,522,682,80
acl20419,11,768,1020,text box,652,724,327,29
acl20419,13,768,1020,text box,58,530,894,78
acl20419,13,768,1020,table,54,161,916,260
acl20419,13,768,1020,title,59,73,663,48
acl20419,13,768,1020,text box,54,474,856,40
acl20419,13,768,1020,text box,652,724,327,29
acl20419,9,768,1020,title,57,72,537,50
acl20419,9,768,1020,text box,55,439,498,36
acl20419,9,768,1020,text box,55,173,879,72
acl20419,9,768,1020,table,192,497,679,200
acl20419,9,768,1020,text box,56,174,868,201
acl20419,9,768,1020,text box,651,725,326,27
acl20419,4,768,1020,text box,59,546,894,119
acl20419,4,768,1020,text box,60,351,847,122
acl20419,4,768,1020,title,54,74,247,53
acl20419,4,768,1020,text box,56,172,647,124
acl20419,4,768,1020,text box,651,724,327,29
acl20419,5,768,1020,title,55,15,886,117
acl20419,5,768,1020,text box,652,724,327,29
acl20419,0,768,1020,text box,63,461,659,73
acl20419,0,768,1020,title,51,112,319,99
acl20419,0,768,1020,text box,68,253,840,166
acl20419,0,768,1020,text box,67,676,271,26
acl20419,0,768,1020,text box,62,569,494,36
acl20419,8,768,1020,title,54,18,870,103
acl20419,8,768,1020,text box,57,177,796,95
acl20419,8,768,1020,text box,652,724,327,29
acl20419,8,768,1020,text box,72,250,833,244
acl20419,8,768,1020,text box,82,405,864,53
acl20365,10,768,1019,title,156,45,700,54
acl20365,7,768,1019,picture,174,629,121,112
acl20365,7,768,1019,text box,48,133,231,31
acl20365,7,768,1019,text box,50,583,227,32
acl20365,7,768,1019,picture,117,187,233,99
acl20365,7,768,1019,text box,436,211,406,57
acl20365,7,768,1019,title,440,44,134,52
acl20365,7,768,1019,text box,51,347,532,29
acl20365,7,768,1019,text box,463,669,342,28
acl20365,7,768,1019,text box,459,454,360,28
acl20365,1,768,1019,text box,103,291,809,199
acl20365,12,768,1019,title,157,44,699,54
acl20365,12,768,1019,diagram,10,157,1001,268
acl20365,12,768,1019,diagram,12,160,997,580
acl20365,14,768,1019,chart,590,513,349,207
acl20365,14,768,1019,chart,581,125,360,297
acl20365,14,768,1019,chart,66,470,364,261
acl20365,14,768,1019,chart,67,123,360,299
acl20365,14,768,1019,title,31,45,950,54
acl20365,14,768,1019,text box,588,469,355,26
acl20365,14,768,1019,text box,93,703,262,33
acl20365,14,768,1019,footer,450,706,115,24
acl20365,6,768,1019,chart,75,150,427,247
acl20365,15,768,1019,text box,55,175,782,148
acl20365,15,768,1019,title,359,45,296,45
acl20365,15,768,1019,text box,57,354,890,66
acl20365,15,768,1019,text box,55,572,879,61
acl20365,15,768,1019,text box,56,447,769,30
acl20365,15,768,1019,text box,53,507,886,31
acl20365,15,768,1019,footer,450,706,115,25
acl20365,2,768,1019,title,284,41,446,42
acl20365,3,768,1019,title,284,41,445,42
acl20365,3,768,1019,diagram,30,119,947,280
acl20365,11,768,1019,title,157,45,699,54
acl20365,11,768,1019,diagram,10,157,1002,267
acl20365,13,768,1019,title,157,43,700,54
acl20365,13,768,1019,diagram,10,157,1001,268
acl20365,13,768,1019,diagram,12,158,995,584
acl20365,13,768,1019,diagram,9,444,994,293
acl20365,9,768,1019,text box,237,307,538,43
acl20365,9,768,1019,text box,120,419,773,45
acl20365,9,768,1019,footer,450,706,115,24
acl20365,9,768,1019,title,411,46,191,51
acl20365,4,768,1019,title,284,41,445,42
acl20365,4,768,1019,picture,64,509,345,248
acl20365,4,768,1019,text box,455,521,466,218
acl20365,4,768,1019,diagram,30,120,947,279
acl20365,5,768,1019,title,418,45,178,45
acl20365,5,768,1019,handwriting,544,328,394,239
acl20365,5,768,1019,footer,454,706,108,23
acl20365,0,768,1019,text box,47,47,275,84
acl20365,0,768,1019,title,37,290,938,105
acl20365,0,768,1019,text box,128,440,788,37
acl20365,0,768,1019,text box,764,57,213,61
acl20365,8,768,1019,title,96,45,824,53
acl20365,8,768,1019,text box,23,632,536,82
acl20365,8,768,1019,text box,603,322,374,366
acl20365,8,768,1019,text box,30,150,746,100
acl20365,8,768,1019,text box,375,213,398,32
acl20365,8,768,1019,text box,74,213,101,29
acl2056,10,576,1024,title,12,31,804,37
acl2056,10,576,1024,text box,23,129,298,190
acl2056,10,576,1024,schematic diagram,382,84,633,449
acl2056,16,576,1024,title,43,62,212,36
acl2056,16,576,1024,text box,41,196,362,30
acl2056,16,576,1024,text box,41,140,347,28
acl2056,7,576,1024,text box,16,286,340,189
acl2056,7,576,1024,title,13,30,803,37
acl2056,17,576,1024,title,44,62,192,41
acl2056,17,576,1024,text box,41,139,181,30
acl2056,17,576,1024,text box,41,255,105,28
acl2056,17,576,1024,text box,42,197,136,30
acl2056,1,576,1024,text box,45,311,170,26
acl2056,1,576,1024,text box,44,195,313,32
acl2056,1,576,1024,text box,43,141,166,27
acl2056,1,576,1024,text box,44,255,105,29
acl2056,1,576,1024,title,44,63,133,36
acl2056,12,576,1024,title,45,62,231,43
acl2056,12,576,1024,text box,46,136,806,122
acl2056,12,576,1024,table,154,350,677,175
acl2056,14,576,1024,text box,588,511,412,40
acl2056,14,576,1024,text box,591,319,407,37
acl2056,14,576,1024,title,44,63,128,40
acl2056,14,576,1024,text box,47,137,502,320
acl2056,14,576,1024,picture,588,358,409,142
acl2056,14,576,1024,picture,593,165,403,143
acl2056,6,576,1024,title,12,30,804,37
acl2056,15,576,1024,title,44,62,334,39
acl2056,15,576,1024,text box,36,312,803,199
acl2056,15,576,1024,text box,41,141,719,140
acl2056,2,576,1024,title,43,63,224,37
acl2056,2,576,1024,text box,74,205,837,287
acl2056,18,576,1024,text box,392,228,236,58
acl2056,3,576,1024,text box,45,143,944,310
acl2056,3,576,1024,title,44,63,224,37
acl2056,3,576,1024,text box,54,171,936,192
acl2056,11,576,1024,picture,599,107,279,422
