Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
56,10,1984,2645,text box,151,634,2084,316
56,10,1984,2645,title,155,230,2341,227
56,10,1984,2645,text box,145,1018,2256,321
56,10,1984,2645,text box,142,1023,2264,525
56,10,1984,2645,text box,151,1393,2061,158
56,16,1984,2645,chart,573,489,1528,1476
56,16,1984,2645,title,196,247,2259,191
56,16,1984,2645,text box,1073,1909,558,52
56,7,1984,2645,title,654,236,1342,212
56,7,1984,2645,text box,153,817,1062,136
56,7,1984,2645,text box,155,1004,1059,418
56,7,1984,2645,text box,152,638,772,133
56,7,1984,2645,diagram,1395,643,1105,888
56,7,1984,2645,text box,152,997,1065,580
56,17,1984,2645,text box,221,643,2110,647
56,17,1984,2645,title,593,233,1465,216
56,17,1984,2645,text box,227,1461,1825,154
56,1,1984,2645,title,453,123,1733,440
56,1,1984,2645,text box,219,842,1815,251
56,1,1984,2645,picture,226,1242,2037,425
56,1,1984,2645,picture,1744,1248,497,278
56,12,1984,2645,chart,1249,710,1373,1004
56,12,1984,2645,title,509,241,1634,184
56,12,1984,2645,text box,137,654,913,445
56,12,1984,2645,text box,134,1127,1045,315
56,14,1984,2645,title,493,236,1663,213
56,20,1984,2645,diagram,374,463,1838,1029
56,22,1984,2645,chart,738,651,1029,627
56,22,1984,2645,title,990,244,668,202
56,22,1984,2645,picture,0,1328,2643,596
56,6,1984,2645,picture,1437,984,1043,787
56,6,1984,2645,picture,473,487,895,1447
56,6,1984,2645,title,714,238,1225,212
56,15,1984,2645,title,233,252,2187,184
56,15,1984,2645,text box,158,628,1115,911
56,15,1984,2645,chart,1351,629,1122,1149
56,15,1984,2645,text box,151,617,1128,1176
56,15,1984,2645,text box,218,1673,563,101
56,2,1984,2645,picture,606,779,1405,689
56,2,1984,2645,title,399,116,1841,449
56,2,1984,2645,text box,706,1579,1214,115
56,18,1984,2645,text box,218,1249,2053,204
56,18,1984,2645,text box,188,583,2258,423
56,18,1984,2645,title,805,240,1031,172
56,3,1984,2645,title,491,116,1659,450
56,3,1984,2645,picture,211,754,1031,779
56,3,1984,2645,picture,1388,761,1037,772
56,11,1984,2645,title,312,240,2027,211
56,11,1984,2645,text box,236,646,2146,133
56,11,1984,2645,text box,242,1017,1524,127
56,11,1984,2645,text box,246,850,1484,124
56,13,1984,2645,chart,1257,748,1359,1010
56,13,1984,2645,text box,150,643,923,602
56,13,1984,2645,title,610,245,1418,197
56,9,1984,2645,title,598,240,1457,205
56,9,1984,2645,text box,136,1813,2273,83
56,9,1984,2645,figure,155,1303,2201,397
56,9,1984,2645,text box,158,839,457,119
56,23,1984,2645,text box,153,646,2197,347
56,23,1984,2645,title,777,244,1083,177
56,21,1984,2645,text box,148,641,1123,130
56,21,1984,2645,title,673,242,1304,201
56,21,1984,2645,text box,1458,804,932,267
56,21,1984,2645,text box,2122,1694,406,128
56,21,1984,2645,text box,156,810,893,644
56,21,1984,2645,text box,1454,1706,254,107
56,4,1984,2645,text box,151,640,2144,460
56,4,1984,2645,text box,237,1541,2202,211
56,4,1984,2645,picture,779,1163,907,264
56,4,1984,2645,title,1104,251,443,165
56,5,1984,2645,title,364,118,1921,457
56,5,1984,2645,diagram,81,807,2298,1100
56,0,1984,2645,picture,1080,1053,591,616
56,0,1984,2645,picture,1876,1058,474,590
56,0,1984,2645,picture,255,1053,596,602
56,0,1984,2645,text box,152,916,2291,118
56,0,1984,2645,title,176,148,2284,561
56,8,1984,2645,text box,1537,620,875,843
56,8,1984,2645,title,615,237,1421,218
56,8,1984,2645,text box,172,621,861,734
56,8,1984,2645,figure,1569,1564,878,315
56,8,1984,2645,text box,167,1565,885,313
56,8,1984,2645,figure,167,1565,885,313
56,8,1984,2645,text box,1550,684,847,840
115,10,1500,2000,text box,123,371,1665,358
115,10,1500,2000,title,659,149,686,93
115,10,1500,2000,diagram,473,795,1136,641
115,37,1500,2000,text box,120,380,1739,718
115,37,1500,2000,title,345,146,1312,116
115,16,1500,2000,title,381,139,1234,122
115,16,1500,2000,diagram,270,616,1510,874
115,16,1500,2000,diagram,268,254,1518,1229
115,7,1500,2000,text box,127,383,1675,286
115,7,1500,2000,title,261,142,1480,117
115,17,1500,2000,text box,123,654,1145,334
115,17,1500,2000,text box,125,384,890,240
115,17,1500,2000,title,380,139,1234,122
115,17,1500,2000,diagram,1317,289,529,1095
115,17,1500,2000,diagram,1330,314,505,802
115,17,1500,2000,diagram,1191,1141,784,287
115,17,1500,2000,text box,125,1034,817,249
115,30,1500,2000,text box,121,721,1556,293
115,30,1500,2000,text box,120,383,1394,299
115,30,1500,2000,title,663,148,676,98
115,33,1500,2000,text box,109,502,1730,167
115,33,1500,2000,title,644,140,714,117
115,33,1500,2000,text box,100,689,1752,118
115,33,1500,2000,text box,99,824,1746,168
115,33,1500,2000,text box,123,368,1696,112
115,33,1500,2000,text box,113,1048,1654,109
115,27,1500,2000,title,242,145,1511,119
115,27,1500,2000,diagram,904,468,989,757
115,27,1500,2000,chart,150,577,769,614
115,27,1500,2000,chart,153,785,769,413
115,1,1500,2000,title,431,148,1131,97
115,1,1500,2000,text box,122,381,1088,195
115,1,1500,2000,text box,112,687,199,48
115,1,1500,2000,diagram,141,683,1851,584
115,12,1500,2000,diagram,257,269,1526,1222
115,12,1500,2000,diagram,247,616,1526,876
115,12,1500,2000,title,841,144,319,96
115,39,1500,2000,diagram,904,362,1086,1067
115,39,1500,2000,text box,124,373,831,286
115,39,1500,2000,title,138,146,1716,117
115,39,1500,2000,text box,122,692,791,255
115,39,1500,2000,text box,124,999,764,254
115,39,1500,2000,diagram,903,394,1088,1100
115,14,1500,2000,diagram,1389,349,458,1059
115,14,1500,2000,title,485,141,1023,119
115,28,1500,2000,title,243,145,1510,120
115,28,1500,2000,chart,145,598,779,596
115,28,1500,2000,table,968,769,863,286
115,20,1500,2000,table,467,336,978,627
115,20,1500,2000,text box,325,1028,1228,227
115,20,1500,2000,title,803,142,396,119
115,41,1500,2000,table,484,325,961,709
115,41,1500,2000,title,564,140,865,120
115,41,1500,2000,text box,120,1108,1233,46
115,41,1500,2000,text box,118,1220,1807,55
115,47,1500,2000,table,306,425,1369,785
115,47,1500,2000,title,404,142,1188,116
115,22,1500,2000,table,214,316,1559,465
115,22,1500,2000,picture,1042,792,857,706
