Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
bmvc1321,10,2189,2845,chart,1534,1353,958,647
bmvc1321,10,2189,2845,chart,350,1349,954,653
bmvc1321,10,2189,2845,title,659,90,1179,106
bmvc1321,10,2189,2845,text box,38,304,2398,122
bmvc1321,10,2189,2845,text box,1939,2039,821,77
bmvc1321,10,2189,2845,figure,1742,608,463,80
bmvc1321,10,2189,2845,text box,11,2133,474,51
bmvc1321,16,2189,2845,title,514,86,1466,116
bmvc1321,16,2189,2845,picture,42,330,2737,1631
bmvc1321,7,2189,2845,text box,89,1554,2648,281
bmvc1321,7,2189,2845,text box,109,888,2258,474
bmvc1321,7,2189,2845,title,279,79,1935,133
bmvc1321,7,2189,2845,text box,109,716,2260,645
bmvc1321,7,2189,2845,text box,107,428,1446,124
bmvc1321,17,2189,2845,picture,1635,1192,1074,746
bmvc1321,17,2189,2845,picture,1635,309,1071,783
bmvc1321,17,2189,2845,picture,649,1174,538,795
bmvc1321,17,2189,2845,text box,40,2019,2747,162
bmvc1321,1,2189,2845,text box,106,1459,784,258
bmvc1321,1,2189,2845,picture,1329,1098,1491,854
bmvc1321,1,2189,2845,text box,104,522,1267,262
bmvc1321,1,2189,2845,title,104,86,2287,117
bmvc1321,1,2189,2845,text box,109,1189,501,106
bmvc1321,1,2189,2845,text box,1939,2036,822,85
bmvc1321,12,2189,2845,figure,253,321,2348,361
bmvc1321,12,2189,2845,handwriting,849,1041,1601,787
bmvc1321,12,2189,2845,handwriting,855,861,1593,963
bmvc1321,12,2189,2845,text box,185,91,2111,113
bmvc1321,12,2189,2845,figure,312,1091,340,98
bmvc1321,12,2189,2845,figure,311,877,340,88
bmvc1321,12,2189,2845,figure,312,1319,340,97
bmvc1321,14,2189,2845,title,358,96,1778,104
bmvc1321,20,2189,2845,chart,166,511,1198,1181
bmvc1321,20,2189,2845,chart,1468,630,1219,987
bmvc1321,20,2189,2845,title,313,93,1870,109
bmvc1321,6,2189,2845,title,722,91,1056,109
bmvc1321,6,2189,2845,text box,102,955,2575,382
bmvc1321,6,2189,2845,text box,125,684,2406,163
bmvc1321,6,2189,2845,text box,120,1386,2537,154
bmvc1321,6,2189,2845,text box,128,1576,2486,160
bmvc1321,6,2189,2845,text box,2121,1845,640,107
bmvc1321,6,2189,2845,text box,112,385,2096,267
bmvc1321,6,2189,2845,text box,103,1076,2575,280
bmvc1321,6,2189,2845,text box,121,492,2084,154
bmvc1321,6,2189,2845,text box,91,379,626,74
bmvc1321,15,2189,2845,title,357,94,1778,107
bmvc1321,15,2189,2845,picture,1777,859,600,611
bmvc1321,2,2189,2845,text box,114,642,2632,101
bmvc1321,2,2189,2845,text box,114,453,2104,109
bmvc1321,2,2189,2845,chart,1375,1156,1395,823
bmvc1321,2,2189,2845,picture,174,1162,1062,799
bmvc1321,2,2189,2845,text box,110,820,1753,101
bmvc1321,2,2189,2845,title,363,78,1755,128
bmvc1321,18,2189,2845,picture,93,579,1420,1070
bmvc1321,18,2189,2845,title,221,93,2039,109
bmvc1321,18,2189,2845,picture,1589,593,1170,1070
bmvc1321,3,2189,2845,picture,120,979,1203,958
bmvc1321,3,2189,2845,picture,1488,975,1192,963
bmvc1321,3,2189,2845,text box,45,357,2142,110
bmvc1321,3,2189,2845,text box,42,560,2526,117
bmvc1321,3,2189,2845,text box,60,763,2784,120
bmvc1321,3,2189,2845,title,109,84,2263,122
bmvc1321,3,2189,2845,text box,1940,2036,822,86
bmvc1321,11,2189,2845,chart,2207,335,599,408
bmvc1321,11,2189,2845,text box,29,1685,2728,237
bmvc1321,11,2189,2845,figure,78,704,2713,443
bmvc1321,11,2189,2845,text box,58,1277,2316,252
bmvc1321,11,2189,2845,text box,8,2019,2803,165
bmvc1321,11,2189,2845,text box,73,712,1259,119
bmvc1321,11,2189,2845,text box,658,92,1471,108
bmvc1321,11,2189,2845,text box,68,346,984,120
bmvc1321,13,2189,2845,figure,719,1763,1787,232
bmvc1321,13,2189,2845,figure,1328,1024,1009,248
bmvc1321,13,2189,2845,text box,81,404,869,102
bmvc1321,13,2189,2845,title,683,86,1132,120
bmvc1321,13,2189,2845,text box,75,1381,882,118
bmvc1321,13,2189,2845,figure,105,1386,2391,397
bmvc1321,9,2189,2845,chart,1409,683,1391,923
bmvc1321,9,2189,2845,chart,149,612,1198,1010
bmvc1321,9,2189,2845,text box,138,332,2488,213
bmvc1321,9,2189,2845,title,422,79,1653,134
bmvc1321,9,2189,2845,text box,107,1707,2615,217
bmvc1321,21,2189,2845,text box,95,375,2316,642
bmvc1321,21,2189,2845,title,1043,91,754,111
bmvc1321,4,2189,2845,text box,27,317,2641,272
bmvc1321,4,2189,2845,text box,47,1026,2495,113
bmvc1321,4,2189,2845,text box,38,436,2517,568
bmvc1321,4,2189,2845,text box,40,668,2473,287
bmvc1321,4,2189,2845,title,159,88,2162,117
bmvc1321,5,2189,2845,text box,54,428,2707,359
bmvc1321,5,2189,2845,picture,447,1232,1204,749
bmvc1321,5,2189,2845,text box,61,419,2699,603
bmvc1321,5,2189,2845,title,200,75,2081,139
bmvc1321,5,2189,2845,text box,79,915,2203,101
bmvc1321,0,2189,2845,title,753,352,1344,163
bmvc1321,0,2189,2845,text box,79,607,2703,444
bmvc1321,0,2189,2845,text box,623,1608,1606,264
bmvc1321,0,2189,2845,text box,391,1246,2072,276
bmvc1321,8,2189,2845,text box,50,1520,2725,448
bmvc1321,8,2189,2845,title,470,94,1559,108
bmvc1321,8,2189,2845,text box,970,1124,909,101
bmvc1321,8,2189,2845,text box,65,1113,724,268
bmvc1321,8,2189,2845,title,2204,337,400,102
bmvc1321,8,2189,2845,text box,2015,1117,720,260
bmvc1321,19,2189,2845,picture,1291,1436,504,408
bmvc1321,19,2189,2845,picture,1965,1355,841,634
bmvc1321,19,2189,2845,figure,163,508,2037,163
bmvc1321,19,2189,2845,text box,79,337,1203,118
bmvc1321,19,2189,2845,text box,1948,2036,820,80
bmvc1310,10,1653,2206,title,114,142,1965,122
bmvc1310,10,1653,2206,picture,1615,277,568,694
bmvc1310,10,1653,2206,diagram,124,509,1415,928
bmvc1310,10,1653,2206,picture,1637,991,502,621
bmvc1310,16,1653,2206,picture,819,461,525,860
bmvc1310,16,1653,2206,text box,480,1411,1230,96
bmvc1310,16,1653,2206,title,155,151,1889,121
bmvc1310,7,1653,2206,title,464,141,1271,138
bmvc1310,7,1653,2206,text box,562,774,752,93
bmvc1310,7,1653,2206,text box,563,637,694,92
bmvc1310,17,1653,2206,title,158,149,1884,126
bmvc1310,17,1653,2206,picture,1594,502,527,864
bmvc1310,17,1653,2206,text box,193,397,1137,331
bmvc1310,17,1653,2206,text box,130,1046,539,91
bmvc1310,17,1653,2206,text box,196,912,579,94
bmvc1310,27,1653,2206,text box,234,402,1741,200
bmvc1310,27,1653,2206,title,765,152,671,103
bmvc1310,1,1653,2206,text box,155,392,1888,99
bmvc1310,1,1653,2206,title,873,150,454,108
bmvc1310,12,1653,2206,picture,111,72,2023,697
bmvc1310,12,1653,2206,picture,120,852,2005,780
bmvc1310,14,1653,2206,picture,650,459,962,797
bmvc1310,14,1653,2206,title,366,142,1466,136
bmvc1310,14,1653,2206,text box,597,1330,996,178
bmvc1310,28,1653,2206,text box,403,395,1388,196
bmvc1310,28,1653,2206,text box,402,636,1010,86
bmvc1310,28,1653,2206,title,766,152,668,102
bmvc1310,28,1653,2206,diagram,29,798,2123,854
bmvc1310,20,1653,2206,title,194,148,1808,111
bmvc1310,20,1653,2206,picture,500,387,1403,1169
bmvc1310,20,1653,2206,picture,500,393,1402,1231
bmvc1310,20,1653,2206,picture,505,397,1396,1043
bmvc1310,22,1653,2206,text box,139,773,1837,192
bmvc1310,22,1653,2206,text box,137,1151,1848,194
bmvc1310,22,1653,2206,title,126,72,1947,263
bmvc1310,22,1653,2206,text box,134,530,1481,200
bmvc1310,22,1653,2206,text box,131,1012,1428,85
bmvc1310,22,1653,2206,text box,145,528,1825,205
bmvc1310,6,1653,2206,text box,91,1422,1391,168
bmvc1310,6,1653,2206,figure,99,449,1197,255
bmvc1310,6,1653,2206,figure,106,1109,1696,241
bmvc1310,15,1653,2206,text box,149,381,1022,265
bmvc1310,15,1653,2206,title,365,145,1467,131
bmvc1310,15,1653,2206,picture,1446,999,754,605
bmvc1310,15,1653,2206,text box,686,1552,683,56
bmvc1310,15,1653,2206,figure,496,860,508,125
bmvc1310,15,1653,2206,picture,1442,344,751,1260
bmvc1310,15,1653,2206,text box,555,753,422,53
bmvc1310,15,1653,2206,picture,1450,343,726,603
bmvc1310,15,1653,2206,text box,78,1154,651,54
bmvc1310,2,1653,2206,picture,119,383,1986,1072
bmvc1310,2,1653,2206,title,355,148,1498,121
bmvc1310,2,1653,2206,text box,859,1476,492,51
bmvc1310,18,1653,2206,title,157,149,1885,125
bmvc1310,18,1653,2206,picture,1594,502,527,865
bmvc1310,18,1653,2206,text box,191,395,1076,331
bmvc1310,18,1653,2206,text box,134,1190,1304,91
bmvc1310,18,1653,2206,text box,131,1052,715,91
bmvc1310,18,1653,2206,text box,194,914,623,90
bmvc1310,3,1653,2206,title,423,153,1363,99
bmvc1310,3,1653,2206,text box,168,1557,1896,76
bmvc1310,3,1653,2206,picture,497,378,1427,1089
bmvc1310,11,1653,2206,title,683,150,842,104
bmvc1310,25,1653,2206,picture,620,356,1144,949
bmvc1310,25,1653,2206,title,369,148,1459,110
bmvc1310,25,1653,2206,text box,583,1588,1047,53
bmvc1310,25,1653,2206,text box,579,1466,997,52
bmvc1310,25,1653,2206,text box,583,1519,1045,64
bmvc1310,24,1653,2206,title,366,142,1466,137
bmvc1310,24,1653,2206,text box,603,1485,881,83
bmvc1310,13,1653,2206,title,202,145,1796,117
bmvc1310,13,1653,2206,text box,134,1350,1922,139
bmvc1310,13,1653,2206,picture,45,508,2109,759
bmvc1310,26,1653,2206,picture,495,517,1413,1084
bmvc1310,26,1653,2206,text box,324,394,1642,91
bmvc1310,26,1653,2206,title,765,152,671,102
bmvc1310,9,1653,2206,title,373,77,1456,268
bmvc1310,9,1653,2206,text box,115,442,1194,223
bmvc1310,9,1653,2206,picture,1623,442,539,851
bmvc1310,9,1653,2206,picture,1631,454,533,967
bmvc1310,23,1653,2206,figure,205,505,1643,272
bmvc1310,23,1653,2206,figure,221,1133,1858,164
bmvc1310,23,1653,2206,figure,216,1146,1867,204
bmvc1310,21,1653,2206,title,161,147,1886,128
bmvc1310,21,1653,2206,picture,1594,501,527,866
bmvc1310,21,1653,2206,text box,132,1053,1306,89
bmvc1310,21,1653,2206,text box,197,915,578,89
bmvc1310,21,1653,2206,text box,192,397,1289,332
bmvc1310,21,1653,2206,text box,195,524,1285,207
bmvc1310,4,1653,2206,text box,115,1030,1380,101
bmvc1310,4,1653,2206,title,135,89,1941,248
bmvc1310,4,1653,2206,text box,119,753,1354,96
bmvc1310,4,1653,2206,picture,1490,445,697,840
bmvc1310,5,1653,2206,title,557,77,1130,251
bmvc1310,5,1653,2206,text box,79,717,1501,90
bmvc1310,5,1653,2206,text box,80,478,1338,92
bmvc1310,5,1653,2206,text box,78,957,1504,90
bmvc1310,5,1653,2206,figure,75,1352,1924,234
bmvc1310,5,1653,2206,text box,80,1199,1419,84
bmvc1310,5,1653,2206,picture,1695,333,492,826
bmvc1310,0,1653,2206,picture,378,537,1472,1049
bmvc1310,0,1653,2206,title,199,119,1795,261
bmvc1310,29,1653,2206,text box,794,696,610,129
bmvc1310,8,1653,2206,title,364,143,1469,136
bmvc1310,8,1653,2206,picture,1662,1045,368,607
bmvc1310,8,1653,2206,picture,202,1047,369,605
bmvc1310,8,1653,2206,picture,907,442,417,1196
bmvc1310,19,1653,2206,title,183,147,1834,132
