Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
cvpr20419,7,1500,2667,text box,1165,649,298,80
cvpr20419,1,1500,2667,title,202,177,438,95
cvpr20419,1,1500,2667,text box,1401,1190,690,56
cvpr20419,1,1500,2667,picture,608,449,444,797
cvpr20419,6,1500,2667,title,203,177,957,107
cvpr20419,6,1500,2667,text box,198,412,548,58
cvpr20419,6,1500,2667,picture,286,578,2191,527
cvpr20419,2,1500,2667,title,203,175,875,116
cvpr20419,2,1500,2667,diagram,276,533,2080,578
cvpr20419,2,1500,2667,text box,201,410,853,72
cvpr20419,3,1500,2667,picture,760,598,1095,498
cvpr20419,3,1500,2667,title,202,176,879,114
cvpr20419,3,1500,2667,text box,199,410,1094,72
cvpr20419,4,1500,2667,text box,198,390,1777,783
cvpr20419,4,1500,2667,title,204,176,873,115
cvpr20419,5,1500,2667,table,207,500,2117,318
cvpr20419,5,1500,2667,title,202,176,959,110
cvpr20419,5,1500,2667,picture,334,944,1898,497
cvpr20419,0,1500,2667,text box,339,856,1995,143
cvpr20419,0,1500,2667,title,435,535,1792,196
cvpr20365,10,709,1260,table,193,234,876,191
cvpr20365,10,709,1260,title,30,98,349,35
cvpr20365,10,709,1260,header,171,21,447,46
cvpr20365,7,709,1260,chart,41,155,542,449
cvpr20365,7,709,1260,text box,688,388,542,144
cvpr20365,7,709,1260,title,34,102,807,33
cvpr20365,7,709,1260,text box,654,152,178,27
cvpr20365,7,709,1260,text box,685,547,523,151
cvpr20365,7,709,1260,text box,25,629,542,65
cvpr20365,7,709,1260,text box,674,193,553,180
cvpr20365,7,709,1260,header,169,20,452,45
cvpr20365,1,709,1260,text box,26,441,823,37
cvpr20365,1,709,1260,title,33,98,179,36
cvpr20365,1,709,1260,picture,58,495,219,136
cvpr20365,1,709,1260,text box,17,160,691,35
cvpr20365,1,709,1260,header,168,19,454,52
cvpr20365,1,709,1260,text box,280,516,107,38
cvpr20365,6,709,1260,text box,24,499,529,97
cvpr20365,6,709,1260,text box,649,304,599,166
cvpr20365,6,709,1260,table,40,191,535,282
cvpr20365,6,709,1260,title,30,100,810,34
cvpr20365,6,709,1260,text box,650,308,185,31
cvpr20365,2,709,1260,text box,37,469,1195,169
cvpr20365,2,709,1260,title,33,98,178,36
cvpr20365,2,709,1260,text box,25,435,160,28
cvpr20365,2,709,1260,header,169,19,453,51
cvpr20365,3,709,1260,picture,717,153,499,551
cvpr20365,3,709,1260,text box,16,201,665,494
cvpr20365,3,709,1260,text box,8,162,530,37
cvpr20365,3,709,1260,title,30,98,369,36
cvpr20365,11,709,1260,text box,59,332,1151,129
cvpr20365,11,709,1260,text box,55,214,1114,68
cvpr20365,11,709,1260,title,33,102,153,33
cvpr20365,11,709,1260,text box,521,594,214,48
cvpr20365,9,709,1260,text box,881,260,357,270
cvpr20365,9,709,1260,title,30,93,441,42
cvpr20365,9,709,1260,table,11,156,846,545
cvpr20365,9,709,1260,header,170,21,450,45
cvpr20365,4,709,1260,title,31,98,297,36
cvpr20365,4,709,1260,text box,12,216,207,41
cvpr20365,4,709,1260,picture,642,215,609,367
cvpr20365,4,709,1260,picture,683,338,224,183
cvpr20365,5,709,1260,picture,111,154,411,547
cvpr20365,5,709,1260,text box,692,284,528,105
cvpr20365,5,709,1260,text box,686,490,540,149
cvpr20365,5,709,1260,text box,650,159,185,27
cvpr20365,5,709,1260,text box,691,406,529,67
cvpr20365,5,709,1260,text box,689,199,545,68
cvpr20365,5,709,1260,text box,29,98,619,36
cvpr20365,0,709,1260,text box,300,318,661,73
cvpr20365,0,709,1260,picture,1111,0,121,126
cvpr20365,0,709,1260,title,29,12,363,84
cvpr20365,0,709,1260,picture,281,525,181,176
cvpr20365,8,709,1260,text box,25,182,1205,113
cvpr20365,8,709,1260,title,29,96,975,40
cvpr20365,8,709,1260,text box,25,633,562,67
cvpr20365,8,709,1260,table,9,353,1236,252
cvpr20365,8,709,1260,text box,716,354,526,202
cvpr20794,1,1125,2000,title,89,125,1703,88
cvpr20794,1,1125,2000,text box,85,305,1126,354
cvpr20794,1,1125,2000,picture,73,717,1863,336
cvpr20794,1,1125,2000,text box,78,310,1265,350
cvpr20794,2,1125,2000,title,82,112,1444,84
cvpr20794,2,1125,2000,text box,362,1047,1172,45
cvpr20794,2,1125,2000,text box,86,298,1220,55
cvpr20794,2,1125,2000,text box,106,461,1514,52
cvpr20794,2,1125,2000,text box,1587,1026,306,37
cvpr20794,2,1125,2000,text box,84,381,1241,53
cvpr20794,3,1125,2000,chart,348,268,1349,794
cvpr20794,3,1125,2000,title,92,127,1610,81
cvpr20794,4,1125,2000,title,87,124,1468,86
cvpr20794,4,1125,2000,text box,115,974,1622,62
cvpr20794,4,1125,2000,text box,103,257,1193,58
cvpr20794,4,1125,2000,text box,108,888,1322,57
cvpr20794,4,1125,2000,table,82,333,1474,535
cvpr20794,5,1125,2000,picture,1589,793,240,231
cvpr20794,5,1125,2000,title,88,122,1785,91
cvpr20794,5,1125,2000,picture,72,930,377,176
cvpr20794,5,1125,2000,figure,556,687,925,106
cvpr20794,5,1125,2000,text box,103,306,1445,58
cvpr20794,5,1125,2000,text box,1474,1051,444,49
cvpr20794,5,1125,2000,text box,97,395,1848,61
cvpr20794,0,1125,2000,text box,648,877,726,175
cvpr20794,0,1125,2000,title,673,174,659,136
cvpr20794,0,1125,2000,picture,245,466,1522,322
cvpr20794,0,1125,2000,picture,1644,5,345,159
cvpr20794,0,1125,2000,text box,396,328,1209,74
cvpr20794,0,1125,2000,picture,72,437,530,676
cvpr2056,10,2250,4000,picture,471,346,1256,1467
cvpr2056,7,2250,4000,text box,2673,385,564,153
cvpr2056,7,2250,4000,table,2533,1183,819,637
cvpr2056,7,2250,4000,picture,2261,492,1439,556
cvpr2056,7,2250,4000,picture,641,1238,760,480
cvpr2056,1,2250,4000,picture,676,431,2801,1346
cvpr2056,2,2250,4000,picture,679,441,2807,1347
cvpr2056,3,2250,4000,chart,1197,349,1447,1474
cvpr2056,11,2250,4000,title,334,556,3346,1090
cvpr2056,9,2250,4000,picture,456,133,3102,1973
cvpr2056,4,2250,4000,picture,1197,365,1452,1438
cvpr2056,5,2250,4000,picture,1197,363,1445,1447
cvpr2056,0,2250,4000,picture,396,251,3131,916
cvpr2056,0,2250,4000,text box,1144,1676,1718,171
cvpr2056,0,2250,4000,text box,572,1329,2864,121
cvpr2056,8,2250,4000,picture,221,25,3578,2171
