Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
eccv1432,92,2134,2845,title,783,225,1268,193
eccv1432,10,2134,2845,picture,554,547,1742,1384
eccv1432,10,2134,2845,title,641,223,1557,184
eccv1432,37,2134,2845,text box,88,448,2685,131
eccv1432,37,2134,2845,title,901,238,1050,151
eccv1432,37,2134,2845,diagram,246,616,2507,1410
eccv1432,16,2134,2845,title,644,226,1550,180
eccv1432,66,2134,2845,title,213,236,2422,169
eccv1432,66,2134,2845,text box,38,1756,2775,196
eccv1432,66,2134,2845,picture,107,739,1436,719
eccv1432,66,2134,2845,schematic diagram,1556,631,1169,1020
eccv1432,7,2134,2845,picture,1115,911,636,649
eccv1432,7,2134,2845,text box,775,1711,1300,251
eccv1432,7,2134,2845,title,370,464,2109,190
eccv1432,87,2134,2845,text box,226,1691,2384,96
eccv1432,87,2134,2845,picture,66,674,1814,901
eccv1432,87,2134,2845,title,552,234,1736,336
eccv1432,87,2134,2845,picture,1890,689,821,863
eccv1432,94,2134,2845,title,779,225,1277,195
eccv1432,94,2134,2845,picture,166,1064,923,470
eccv1432,94,2134,2845,text box,452,485,1944,104
eccv1432,94,2134,2845,picture,1266,707,1449,1193
eccv1432,81,2134,2845,text box,487,1675,1878,88
eccv1432,81,2134,2845,picture,65,675,1816,901
eccv1432,81,2134,2845,title,544,232,1749,175
eccv1432,81,2134,2845,text box,634,455,1584,105
eccv1432,60,2134,2845,title,512,229,1817,151
eccv1432,60,2134,2845,text box,489,1691,1860,97
eccv1432,98,2134,2845,title,815,229,1220,147
eccv1432,98,2134,2845,text box,1005,1036,1627,349
eccv1432,74,2134,2845,title,551,227,1746,189
eccv1432,74,2134,2845,text box,306,614,2348,208
eccv1432,74,2134,2845,chart,59,806,2225,944
eccv1432,17,2134,2845,picture,858,1134,673,229
eccv1432,17,2134,2845,title,644,225,1551,181
eccv1432,53,2134,2845,title,454,231,1941,176
eccv1432,53,2134,2845,picture,10,628,2808,1201
eccv1432,30,2134,2845,text box,44,435,2742,163
eccv1432,30,2134,2845,title,899,236,1053,139
eccv1432,30,2134,2845,picture,0,568,2845,1378
eccv1432,33,2134,2845,title,900,236,1052,140
eccv1432,33,2134,2845,picture,0,522,2839,1332
eccv1432,33,2134,2845,text box,47,437,2737,157
eccv1432,82,2134,2845,picture,63,676,1821,895
eccv1432,82,2134,2845,text box,226,1693,2381,93
eccv1432,82,2134,2845,title,552,234,1736,336
eccv1432,27,2134,2845,title,900,237,1051,139
eccv1432,27,2134,2845,text box,80,450,2693,131
eccv1432,27,2134,2845,picture,421,690,2009,1132
eccv1432,83,2134,2845,text box,226,1692,2382,97
eccv1432,83,2134,2845,picture,64,674,1819,896
eccv1432,83,2134,2845,title,552,234,1736,336
eccv1432,80,2134,2845,picture,66,670,1810,910
eccv1432,80,2134,2845,title,543,232,1749,175
eccv1432,80,2134,2845,text box,255,1674,2161,88
eccv1432,80,2134,2845,text box,632,455,1586,105
eccv1432,67,2134,2845,title,243,236,2367,173
eccv1432,67,2134,2845,picture,27,434,2801,1597
eccv1432,67,2134,2845,picture,17,419,2819,1714
eccv1432,64,2134,2845,title,511,230,1817,148
eccv1432,64,2134,2845,text box,492,1692,1854,94
eccv1432,64,2134,2845,diagram,696,466,2139,1008
