Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
emnlp18200,10,1125,2000,picture,1124,180,511,350
emnlp18200,10,1125,2000,text box,114,277,249,43
emnlp18200,10,1125,2000,title,89,128,792,82
emnlp18200,10,1125,2000,text box,114,331,261,41
emnlp18200,10,1125,2000,text box,113,384,281,45
emnlp18200,10,1125,2000,text box,110,439,284,41
emnlp18200,10,1125,2000,text box,110,490,430,45
emnlp18200,37,1125,2000,text box,108,459,873,217
emnlp18200,37,1125,2000,title,1305,182,623,111
emnlp18200,37,1125,2000,text box,109,284,1085,155
emnlp18200,37,1125,2000,title,87,131,563,76
emnlp18200,37,1125,2000,text box,1561,819,178,34
emnlp18200,37,1125,2000,text box,1406,340,426,33
emnlp18200,16,1125,2000,title,87,129,1072,81
emnlp18200,16,1125,2000,text box,184,611,547,40
emnlp18200,16,1125,2000,text box,117,277,246,42
emnlp18200,16,1125,2000,text box,117,331,255,39
emnlp18200,16,1125,2000,text box,118,873,472,40
emnlp18200,16,1125,2000,text box,113,444,284,32
emnlp18200,16,1125,2000,picture,1123,175,511,761
emnlp18200,7,1125,2000,text box,111,350,1084,154
emnlp18200,7,1125,2000,text box,104,283,938,46
emnlp18200,7,1125,2000,text box,105,594,1280,52
emnlp18200,7,1125,2000,text box,103,523,1283,54
emnlp18200,7,1125,2000,title,88,128,945,82
emnlp18200,7,1125,2000,text box,182,752,1672,76
emnlp18200,7,1125,2000,figure,372,900,1497,91
emnlp18200,17,1125,2000,title,87,129,1072,81
emnlp18200,17,1125,2000,text box,184,611,547,40
emnlp18200,17,1125,2000,text box,117,277,246,42
emnlp18200,17,1125,2000,text box,117,331,255,39
emnlp18200,17,1125,2000,text box,118,873,472,40
emnlp18200,17,1125,2000,picture,1122,607,515,333
emnlp18200,17,1125,2000,text box,113,444,284,32
emnlp18200,30,1125,2000,text box,107,277,983,175
emnlp18200,30,1125,2000,text box,110,644,1076,109
emnlp18200,30,1125,2000,title,87,133,350,66
emnlp18200,30,1125,2000,text box,106,890,823,110
emnlp18200,30,1125,2000,figure,1315,449,676,300
emnlp18200,30,1125,2000,text box,109,456,526,47
emnlp18200,30,1125,2000,text box,113,829,951,47
emnlp18200,33,1125,2000,text box,108,459,872,217
emnlp18200,33,1125,2000,text box,107,285,1058,153
emnlp18200,33,1125,2000,title,87,131,563,76
emnlp18200,27,1125,2000,text box,111,280,1269,119
emnlp18200,27,1125,2000,picture,1395,409,510,340
emnlp18200,27,1125,2000,title,86,130,1417,79
emnlp18200,1,1125,2000,text box,107,419,985,157
emnlp18200,1,1125,2000,diagram,1107,684,884,308
emnlp18200,1,1125,2000,text box,104,280,967,118
emnlp18200,1,1125,2000,title,86,130,584,77
emnlp18200,1,1125,2000,text box,111,600,599,263
emnlp18200,1,1125,2000,text box,106,598,987,264
emnlp18200,1,1125,2000,picture,1196,185,647,406
emnlp18200,12,1125,2000,picture,1125,181,508,347
emnlp18200,12,1125,2000,text box,114,277,249,43
emnlp18200,12,1125,2000,text box,111,439,284,41
emnlp18200,12,1125,2000,text box,114,385,280,45
emnlp18200,12,1125,2000,title,89,128,792,82
emnlp18200,12,1125,2000,text box,114,330,261,42
emnlp18200,12,1125,2000,text box,110,490,429,46
emnlp18200,39,1125,2000,title,86,132,423,68
