Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
fg1532,10,1500,2000,table,114,232,1757,1146
fg1532,10,1500,2000,title,123,102,649,100
fg1532,37,1500,2000,title,121,96,1406,112
fg1532,37,1500,2000,figure,352,1179,756,284
fg1532,16,1500,2000,title,121,92,1252,121
fg1532,16,1500,2000,text box,276,367,369,82
fg1532,66,1500,2000,text box,1076,686,866,178
fg1532,66,1500,2000,text box,174,682,765,121
fg1532,66,1500,2000,picture,83,383,950,281
fg1532,66,1500,2000,picture,1187,373,608,295
fg1532,7,1500,2000,title,123,101,650,100
fg1532,7,1500,2000,picture,106,235,1767,1135
fg1532,7,1500,2000,table,106,235,1767,1135
fg1532,60,1500,2000,title,118,97,1082,120
fg1532,60,1500,2000,table,72,508,1473,905
fg1532,60,1500,2000,table,104,504,1808,911
fg1532,60,1500,2000,text box,122,278,1423,171
fg1532,17,1500,2000,title,122,92,1251,122
fg1532,17,1500,2000,diagram,292,548,931,514
fg1532,17,1500,2000,text box,277,368,367,80
fg1532,53,1500,2000,title,118,97,1083,120
fg1532,53,1500,2000,text box,123,279,1423,170
fg1532,53,1500,2000,table,83,505,1857,937
fg1532,30,1500,2000,text box,117,268,1689,79
fg1532,30,1500,2000,title,132,98,1367,99
fg1532,33,1500,2000,title,132,96,1367,104
fg1532,33,1500,2000,figure,168,858,1671,333
fg1532,27,1500,2000,figure,248,379,558,78
fg1532,27,1500,2000,title,117,99,1646,109
fg1532,27,1500,2000,text box,115,264,1818,87
fg1532,27,1500,2000,figure,184,486,870,216
fg1532,67,1500,2000,chart,478,562,1371,769
fg1532,67,1500,2000,chart,481,569,991,775
fg1532,64,1500,2000,text box,1076,687,866,177
fg1532,64,1500,2000,text box,175,681,764,122
fg1532,64,1500,2000,picture,82,383,951,282
fg1532,64,1500,2000,picture,1180,373,621,295
fg1532,1,1500,2000,picture,1086,423,869,666
fg1532,1,1500,2000,text box,118,272,866,71
fg1532,1,1500,2000,picture,165,422,810,667
fg1532,1,1500,2000,title,120,102,597,111
fg1532,1,1500,2000,text box,21,1450,793,40
fg1532,1,1500,2000,text box,358,1061,425,47
fg1532,71,1500,2000,picture,325,474,1263,606
fg1532,71,1500,2000,text box,120,1147,1629,274
fg1532,71,1500,2000,text box,126,266,1611,178
fg1532,12,1500,2000,picture,137,462,1618,807
fg1532,12,1500,2000,text box,128,265,1603,180
fg1532,12,1500,2000,title,122,98,461,111
fg1532,69,1500,2000,chart,455,551,1003,815
fg1532,69,1500,2000,text box,95,66,1485,473
fg1532,62,1500,2000,table,86,505,1837,909
fg1532,62,1500,2000,title,118,97,1082,120
fg1532,62,1500,2000,text box,123,279,1422,170
fg1532,39,1500,2000,title,120,97,1406,112
fg1532,39,1500,2000,figure,11,642,1961,256
fg1532,39,1500,2000,text box,648,580,962,54
fg1532,14,1500,2000,picture,142,467,1608,796
fg1532,14,1500,2000,text box,127,265,1604,179
fg1532,14,1500,2000,text box,1062,1307,641,100
