Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
iclr20419,7,576,1024,text box,157,174,643,95
iclr20419,7,576,1024,text box,160,326,698,132
iclr20419,7,576,1024,title,334,41,355,35
iclr20419,1,576,1024,diagram,559,123,427,410
iclr20419,1,576,1024,title,83,39,860,46
iclr20419,1,576,1024,text box,140,512,347,25
iclr20419,1,576,1024,text box,111,427,224,20
iclr20419,1,576,1024,text box,110,392,349,22
iclr20419,1,576,1024,text box,240,475,141,21
iclr20419,1,576,1024,picture,67,163,477,225
iclr20419,1,576,1024,text box,76,126,323,22
iclr20419,6,576,1024,chart,394,124,306,206
iclr20419,6,576,1024,table,396,389,539,131
iclr20419,6,576,1024,text box,124,394,172,21
iclr20419,6,576,1024,title,245,40,533,42
iclr20419,6,576,1024,text box,125,490,144,19
iclr20419,6,576,1024,chart,57,116,304,209
iclr20419,6,576,1024,text box,125,429,201,20
iclr20419,6,576,1024,text box,83,90,145,24
iclr20419,6,576,1024,text box,124,459,191,20
iclr20419,6,576,1024,text box,763,161,203,128
iclr20419,2,576,1024,text box,143,91,715,158
iclr20419,2,576,1024,text box,533,292,408,49
iclr20419,2,576,1024,text box,593,355,306,23
iclr20419,3,576,1024,table,140,316,510,116
iclr20419,3,576,1024,text box,89,256,579,23
iclr20419,3,576,1024,title,151,40,721,41
iclr20419,3,576,1024,text box,680,365,151,22
iclr20419,3,576,1024,text box,680,395,147,20
iclr20419,3,576,1024,text box,88,141,147,23
iclr20419,3,576,1024,text box,88,168,758,45
iclr20419,3,576,1024,text box,679,337,138,18
iclr20419,3,576,1024,text box,240,483,539,26
iclr20419,4,576,1024,title,131,87,653,37
iclr20419,4,576,1024,text box,143,200,770,34
iclr20419,5,576,1024,chart,734,370,284,194
iclr20419,5,576,1024,text box,40,130,610,93
iclr20419,5,576,1024,title,136,39,748,40
iclr20419,5,576,1024,figure,44,379,555,145
iclr20419,5,576,1024,chart,630,370,392,195
iclr20419,5,576,1024,chart,677,108,287,238
iclr20419,0,576,1024,text box,320,318,653,30
iclr20419,0,576,1024,chart,715,91,173,161
iclr20419,0,576,1024,title,53,73,319,71
iclr20419,0,576,1024,text box,687,440,292,28
iclr20419,0,576,1024,text box,51,236,560,31
iclr20419,0,576,1024,text box,46,426,156,103
iclr20419,0,576,1024,text box,741,486,237,27
iclr20419,0,576,1024,text box,50,173,531,40
iclr20419,8,576,1024,text box,144,254,737,64
iclr20419,8,576,1024,title,283,166,461,52
iclr20419,8,576,1024,text box,175,363,659,23
iclr20365,10,532,954,title,40,57,192,41
iclr20365,10,532,954,text box,50,129,453,27
iclr20365,10,532,954,text box,47,158,459,49
iclr20365,16,532,954,title,42,58,243,35
iclr20365,16,532,954,text box,42,410,390,54
iclr20365,16,532,954,table,38,120,664,156
iclr20365,16,532,954,table,36,122,670,268
iclr20365,7,532,954,title,41,57,179,40
iclr20365,7,532,954,figure,55,157,182,95
iclr20365,7,532,954,text box,311,116,565,172
iclr20365,7,532,954,text box,320,312,489,55
iclr20365,17,532,954,title,40,59,151,39
iclr20365,17,532,954,text box,40,127,638,30
iclr20365,1,532,954,title,42,58,199,36
iclr20365,1,532,954,text box,89,181,465,29
iclr20365,1,532,954,text box,39,128,224,29
iclr20365,1,532,954,text box,90,235,685,29
iclr20365,12,532,954,title,40,57,192,41
iclr20365,12,532,954,text box,47,357,805,26
iclr20365,12,532,954,text box,49,227,824,56
iclr20365,12,532,954,text box,48,130,453,24
iclr20365,12,532,954,figure,96,300,162,36
iclr20365,14,532,954,table,36,119,661,156
iclr20365,14,532,954,title,42,58,243,35
iclr20365,20,532,954,chart,614,110,241,216
iclr20365,20,532,954,title,42,58,374,35
iclr20365,20,532,954,chart,323,118,272,188
iclr20365,20,532,954,text box,40,396,591,28
iclr20365,20,532,954,chart,63,112,248,212
iclr20365,22,532,954,title,64,45,827,137
iclr20365,22,532,954,picture,699,388,223,74
iclr20365,22,532,954,text box,193,281,569,34
iclr20365,22,532,954,text box,195,218,564,33
iclr20365,22,532,954,text box,40,393,209,82
iclr20365,6,532,954,title,41,57,179,40
iclr20365,6,532,954,text box,314,115,565,176
iclr20365,6,532,954,figure,55,158,181,94
iclr20365,15,532,954,title,42,58,243,35
iclr20365,15,532,954,table,38,120,664,156
iclr20365,15,532,954,table,35,122,670,268
iclr20365,2,532,954,title,42,58,199,36
iclr20365,2,532,954,text box,91,235,684,29
iclr20365,2,532,954,text box,40,128,223,28
iclr20365,2,532,954,text box,88,182,466,27
iclr20365,18,532,954,title,40,59,151,39
