Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
icml19419,1,1125,2000,diagram,203,510,451,246
icml19419,1,1125,2000,title,81,126,1427,77
icml19419,1,1125,2000,diagram,769,323,1076,716
icml19419,6,1125,2000,text box,106,347,791,190
icml19419,6,1125,2000,text box,104,602,499,55
icml19419,6,1125,2000,title,82,130,214,69
icml19419,2,1125,2000,title,84,127,1231,78
icml19419,2,1125,2000,text box,1528,1021,363,64
icml19419,2,1125,2000,text box,115,1027,1328,57
icml19419,2,1125,2000,chart,243,260,964,711
icml19419,3,1125,2000,text box,84,272,1537,61
icml19419,3,1125,2000,title,89,124,1506,87
icml19419,3,1125,2000,figure,179,685,1603,367
icml19419,3,1125,2000,figure,686,390,669,244
icml19419,4,1125,2000,title,89,124,1506,87
icml19419,4,1125,2000,text box,84,272,1535,61
icml19419,4,1125,2000,figure,114,387,1244,245
icml19419,4,1125,2000,text box,487,693,1008,321
icml19419,5,1125,2000,chart,418,524,561,589
icml19419,5,1125,2000,chart,1067,557,450,554
icml19419,5,1125,2000,title,86,127,1091,82
icml19419,5,1125,2000,text box,108,345,493,51
icml19419,5,1125,2000,text box,105,414,1233,55
icml19419,5,1125,2000,text box,104,276,795,54
icml19419,0,1125,2000,title,130,185,1728,240
icml19419,0,1125,2000,text box,205,667,387,117
icml19419,0,1125,2000,text box,1381,525,449,76
icml19419,0,1125,2000,picture,1723,796,214,306
icml19419,0,1125,2000,text box,770,667,455,116
icml19419,0,1125,2000,picture,807,886,216,176
icml19419,0,1125,2000,picture,1063,873,190,197
icml19365,10,1500,2667,title,129,108,1753,123
icml19365,10,1500,2667,text box,139,374,2404,183
icml19365,10,1500,2667,text box,144,825,2094,80
icml19365,10,1500,2667,figure,218,1029,1363,166
icml19365,10,1500,2667,text box,182,579,2404,196
icml19365,10,1500,2667,footer,1552,1396,387,94
icml19365,7,1500,2667,title,128,108,1220,122
icml19365,7,1500,2667,text box,140,376,2024,275
icml19365,7,1500,2667,figure,146,697,1154,137
icml19365,7,1500,2667,text box,48,898,2595,264
icml19365,1,1500,2667,text box,132,376,2387,280
icml19365,1,1500,2667,text box,136,769,2463,309
icml19365,1,1500,2667,text box,137,1209,1870,149
icml19365,1,1500,2667,title,135,110,491,102
icml19365,1,1500,2667,picture,2060,1190,406,185
icml19365,1,1500,2667,picture,2056,1198,610,292
icml19365,12,1500,2667,title,130,108,1628,128
icml19365,12,1500,2667,chart,1904,305,759,527
icml19365,12,1500,2667,table,1971,994,676,322
icml19365,12,1500,2667,text box,131,828,1771,79
icml19365,12,1500,2667,text box,2085,868,550,114
icml19365,12,1500,2667,picture,1340,924,549,263
icml19365,12,1500,2667,picture,476,903,1068,336
icml19365,12,1500,2667,text box,130,387,869,68
icml19365,14,1500,2667,text box,777,1154,1109,79
icml19365,14,1500,2667,text box,1058,708,554,112
icml19365,6,1500,2667,title,131,110,1122,102
icml19365,6,1500,2667,figure,1507,686,1038,116
icml19365,6,1500,2667,text box,140,379,2407,271
icml19365,6,1500,2667,figure,405,654,843,206
icml19365,6,1500,2667,text box,1491,577,1067,75
icml19365,2,1500,2667,title,134,109,970,121
icml19365,2,1500,2667,figure,1674,364,936,134
icml19365,2,1500,2667,picture,1978,26,180,242
icml19365,2,1500,2667,figure,2070,719,532,75
icml19365,2,1500,2667,figure,57,917,1310,221
icml19365,2,1500,2667,figure,98,1227,732,99
icml19365,2,1500,2667,text box,2173,549,350,51
icml19365,2,1500,2667,figure,56,840,1312,497
icml19365,3,1500,2667,title,131,113,1057,112
icml19365,3,1500,2667,text box,134,374,2340,159
icml19365,3,1500,2667,figure,74,919,2542,257
icml19365,11,1500,2667,title,147,110,2386,125
icml19365,11,1500,2667,text box,134,828,1767,80
icml19365,11,1500,2667,picture,1344,912,543,289
icml19365,11,1500,2667,picture,374,900,1276,344
icml19365,11,1500,2667,text box,130,387,869,68
icml19365,11,1500,2667,picture,725,915,1166,321
icml19365,13,1500,2667,text box,132,583,2300,152
icml19365,13,1500,2667,text box,141,320,2122,175
icml19365,13,1500,2667,title,132,109,562,106
icml19365,13,1500,2667,text box,136,825,2360,157
icml19365,13,1500,2667,text box,138,1272,1646,70
icml19365,13,1500,2667,picture,787,840,1031,407
icml19365,9,1500,2667,title,127,111,1696,115
icml19365,9,1500,2667,text box,133,380,1961,80
icml19365,9,1500,2667,picture,1968,75,473,205
icml19365,9,1500,2667,text box,139,883,2165,78
icml19365,9,1500,2667,text box,137,550,2376,75
icml19365,9,1500,2667,text box,134,702,2373,100
icml19365,4,1500,2667,title,135,111,2026,125
icml19365,4,1500,2667,text box,138,375,2332,158
icml19365,4,1500,2667,text box,2,1405,671,86
icml19365,4,1500,2667,figure,61,847,2528,451
icml19365,5,1500,2667,title,134,111,2039,126
icml19365,5,1500,2667,text box,136,375,2336,158
icml19365,5,1500,2667,text box,5,1402,668,91
icml19365,0,1500,2667,picture,938,624,301,329
icml19365,0,1500,2667,title,120,169,2129,237
icml19365,0,1500,2667,text box,1339,988,357,255
icml19365,0,1500,2667,picture,1357,625,332,329
icml19365,8,1500,2667,text box,127,512,2478,170
icml19365,8,1500,2667,text box,72,914,2552,239
icml19365,8,1500,2667,title,128,108,1336,121
icml19365,8,1500,2667,text box,138,756,2089,82
icml19365,8,1500,2667,text box,118,381,2502,79
icml19365,8,1500,2667,text box,1285,1247,1170,72
icml1956,10,788,1260,chart,268,134,749,471
icml1956,10,788,1260,text box,76,649,1118,103
icml1956,10,788,1260,title,21,24,435,46
icml1956,7,788,1260,text box,50,94,1106,109
icml1956,7,788,1260,text box,71,677,1031,74
icml1956,7,788,1260,text box,22,24,857,42
icml1956,7,788,1260,text box,75,467,978,173
icml1956,7,788,1260,text box,91,240,893,198
icml1956,1,788,1260,picture,254,105,213,267
icml1956,1,788,1260,picture,519,420,222,271
icml1956,1,788,1260,picture,514,100,228,273
icml1956,1,788,1260,picture,245,421,220,270
icml1956,1,788,1260,picture,796,421,221,266
icml1956,1,788,1260,picture,797,104,218,269
icml1956,1,788,1260,text box,832,698,149,29
icml1956,1,788,1260,text box,803,381,209,29
icml1956,1,788,1260,text box,539,698,183,30
icml1956,1,788,1260,title,23,26,216,38
icml1956,12,788,1260,text box,110,257,554,71
icml1956,12,788,1260,text box,109,367,658,70
icml1956,12,788,1260,text box,110,476,911,35
icml1956,12,788,1260,title,22,26,393,40
icml1956,6,788,1260,text box,75,534,702,32
icml1956,6,788,1260,title,21,24,287,44
icml1956,6,788,1260,text box,75,217,859,33
icml1956,2,788,1260,figure,465,339,326,92
icml1956,2,788,1260,text box,55,116,1124,112
icml1956,2,788,1260,figure,432,518,390,93
icml1956,2,788,1260,text box,24,27,549,41
icml1956,2,788,1260,text box,74,681,641,31
icml1956,2,788,1260,text box,74,273,838,31
icml1956,2,788,1260,text box,58,115,1119,189
icml1956,3,788,1260,text box,73,478,868,200
icml1956,3,788,1260,text box,73,198,839,228
icml1956,3,788,1260,text box,74,246,837,188
icml1956,3,788,1260,title,23,27,196,40
icml1956,3,788,1260,text box,78,137,534,32
icml1956,11,788,1260,text box,65,146,1076,117
icml1956,11,788,1260,text box,80,339,1092,258
icml1956,11,788,1260,title,23,26,377,39
icml1956,9,788,1260,chart,239,142,727,468
icml1956,9,788,1260,text box,77,650,1118,102
icml1956,9,788,1260,title,22,23,475,46
icml1956,4,788,1260,figure,356,312,542,47
icml1956,4,788,1260,figure,261,150,317,66
icml1956,4,788,1260,text box,23,28,478,38
