Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
naacl19158,10,756,1008,title,24,23,781,40
naacl19158,10,756,1008,text box,78,404,830,29
naacl19158,10,756,1008,footer,524,733,323,18
naacl19158,10,756,1008,figure,172,483,349,76
naacl19158,10,756,1008,picture,370,199,290,124
naacl19158,37,756,1008,title,21,22,828,42
naacl19158,37,756,1008,diagram,76,237,894,417
naacl19158,37,756,1008,footer,525,733,323,19
naacl19158,16,756,1008,title,22,28,501,34
naacl19158,16,756,1008,footer,524,734,324,18
naacl19158,66,756,1008,text box,82,170,804,202
naacl19158,66,756,1008,footer,525,733,323,18
naacl19158,66,756,1008,footer,38,732,439,22
naacl19158,7,756,1008,title,23,23,781,41
naacl19158,7,756,1008,footer,524,734,323,17
naacl19158,7,756,1008,diagram,346,197,318,151
naacl19158,60,756,1008,diagram,226,232,552,314
naacl19158,60,756,1008,title,20,26,378,37
naacl19158,60,756,1008,footer,524,734,323,18
naacl19158,17,756,1008,title,21,28,502,33
naacl19158,17,756,1008,footer,524,734,324,18
naacl19158,17,756,1008,table,98,192,808,162
naacl19158,53,756,1008,chart,158,206,670,427
naacl19158,53,756,1008,title,21,21,499,42
naacl19158,53,756,1008,footer,525,733,322,19
naacl19158,30,756,1008,title,21,23,752,42
naacl19158,30,756,1008,diagram,78,269,894,400
naacl19158,33,756,1008,title,22,22,828,43
naacl19158,33,756,1008,picture,77,345,896,309
naacl19158,27,756,1008,diagram,227,248,551,278
naacl19158,27,756,1008,title,21,23,751,42
naacl19158,27,756,1008,footer,524,734,324,18
naacl19158,67,756,1008,text box,87,144,826,304
naacl19158,67,756,1008,footer,525,733,322,18
naacl19158,67,756,1008,footer,38,732,439,22
naacl19158,64,756,1008,footer,525,733,323,18
naacl19158,1,756,1008,text box,61,512,172,40
naacl19158,1,756,1008,text box,58,215,488,35
naacl19158,1,756,1008,footer,525,734,322,18
naacl19158,1,756,1008,title,22,25,167,35
naacl19158,1,756,1008,text box,60,315,238,36
naacl19158,1,756,1008,text box,58,411,137,40
naacl19158,12,756,1008,title,24,23,781,40
naacl19158,12,756,1008,text box,77,404,830,29
naacl19158,12,756,1008,footer,524,733,324,18
naacl19158,12,756,1008,text box,173,486,434,110
naacl19158,12,756,1008,picture,370,199,290,124
naacl19158,69,756,1008,text box,79,256,837,234
naacl19158,69,756,1008,title,21,26,201,35
naacl19158,69,756,1008,footer,525,733,322,18
naacl19158,62,756,1008,footer,524,733,324,18
naacl19158,62,756,1008,title,23,28,475,39
naacl19158,39,756,1008,diagram,76,195,894,463
naacl19158,39,756,1008,title,22,22,828,42
naacl19158,39,756,1008,footer,525,732,323,19
naacl19158,14,756,1008,title,22,27,501,35
naacl19158,14,756,1008,footer,525,734,323,18
naacl19158,28,756,1008,title,22,23,751,42
naacl19158,28,756,1008,chart,65,119,884,541
naacl19158,28,756,1008,footer,525,732,323,19
naacl19158,20,756,1008,title,21,28,502,34
naacl19158,20,756,1008,footer,525,733,323,18
naacl19158,20,756,1008,text box,74,430,869,126
naacl19158,41,756,1008,title,21,22,828,43
naacl19158,41,756,1008,footer,525,734,322,18
naacl19158,41,756,1008,figure,291,234,426,37
naacl19158,47,756,1008,chart,158,206,670,428
naacl19158,47,756,1008,title,22,23,602,40
naacl19158,47,756,1008,footer,525,733,322,19
naacl19158,35,756,1008,diagram,76,235,896,420
naacl19158,35,756,1008,title,22,22,829,43
naacl19158,35,756,1008,footer,525,732,323,19
naacl19158,22,756,1008,title,20,24,381,37
naacl19158,22,756,1008,footer,525,734,323,18
naacl19158,22,756,1008,text box,59,314,239,38
naacl19158,6,756,1008,title,23,23,782,41
naacl19158,6,756,1008,footer,524,734,323,17
naacl19158,38,756,1008,diagram,77,196,893,461
naacl19158,38,756,1008,title,22,22,828,42
naacl19158,38,756,1008,footer,525,732,323,19
naacl19158,61,756,1008,footer,524,733,324,18
naacl19158,61,756,1008,title,23,28,475,39
naacl19158,61,756,1008,chart,88,235,833,260
naacl19158,15,756,1008,title,22,28,501,33
naacl19158,15,756,1008,footer,524,734,324,18
naacl19158,43,756,1008,title,21,22,829,43
naacl19158,43,756,1008,footer,525,734,322,18
naacl19158,43,756,1008,text box,289,230,430,88
naacl19158,2,756,1008,title,19,24,382,37
naacl19158,2,756,1008,text box,58,214,488,36
naacl19158,2,756,1008,footer,525,734,323,18
naacl19158,18,756,1008,title,21,28,502,34
naacl19158,18,756,1008,footer,525,733,323,18
naacl19158,59,756,1008,diagram,226,232,552,281
naacl19158,59,756,1008,title,20,26,377,37
naacl19158,59,756,1008,footer,524,734,324,18
naacl19158,3,756,1008,title,21,28,502,33
naacl19158,3,756,1008,footer,524,734,323,18
naacl19158,56,756,1008,chart,154,210,673,419
naacl19158,56,756,1008,title,22,22,777,41
naacl19158,56,756,1008,footer,524,733,324,18
naacl19158,51,756,1008,title,20,23,473,39
naacl19158,51,756,1008,diagram,77,231,808,365
naacl19158,51,756,1008,footer,524,733,324,18
naacl19158,36,756,1008,title,22,22,829,43
naacl19158,36,756,1008,diagram,76,237,895,417
naacl19158,36,756,1008,footer,525,732,323,19
naacl19158,54,756,1008,chart,158,207,670,424
naacl19158,54,756,1008,title,21,21,499,42
naacl19158,54,756,1008,footer,525,733,322,19
naacl19158,11,756,1008,title,24,23,781,40
naacl19158,11,756,1008,text box,77,404,831,29
naacl19158,11,756,1008,footer,524,733,324,18
naacl19158,11,756,1008,figure,173,486,437,71
naacl19158,11,756,1008,picture,370,198,289,124
naacl19158,44,756,1008,title,20,24,381,37
naacl19158,44,756,1008,footer,525,734,323,18
naacl19158,44,756,1008,text box,59,414,136,38
naacl19158,40,756,1008,title,22,22,828,43
naacl19158,40,756,1008,footer,525,734,322,18
naacl19158,40,756,1008,figure,290,233,365,39
naacl19158,57,756,1008,chart,156,209,670,420
naacl19158,57,756,1008,title,21,22,778,41
naacl19158,57,756,1008,footer,524,733,324,18
naacl19158,68,756,1008,text box,84,151,846,399
naacl19158,68,756,1008,footer,525,733,322,18
naacl19158,34,756,1008,title,22,22,828,43
naacl19158,25,756,1008,title,22,23,750,42
naacl19158,25,756,1008,diagram,228,245,412,166
naacl19158,25,756,1008,footer,525,734,323,17
naacl19158,24,756,1008,title,23,23,750,42
naacl19158,24,756,1008,footer,525,734,323,18
naacl19158,24,756,1008,diagram,298,245,341,40
naacl19158,65,756,1008,footer,525,733,323,18
naacl19158,65,756,1008,footer,37,732,440,22
