Slide Deck Id,Slide Id,Image Height,Image Width,Type,X,Y,BB Width,BB Height
nips1856,7,2134,2845,figure,939,1074,959,152
nips1856,7,2134,2845,text box,523,462,1541,82
nips1856,7,2134,2845,title,745,171,1346,178
nips1856,7,2134,2845,text box,419,937,2013,93
nips1856,1,2134,2845,text box,576,749,1712,229
nips1856,1,2134,2845,title,846,156,1162,195
nips1856,1,2134,2845,text box,556,447,1797,87
nips1856,1,2134,2845,text box,152,445,190,81
nips1856,6,2134,2845,text box,521,460,1544,83
nips1856,6,2134,2845,title,745,171,1346,178
nips1856,6,2134,2845,figure,918,778,993,137
nips1856,2,2134,2845,title,848,163,1155,184
nips1856,2,2134,2845,text box,554,447,1800,88
nips1856,2,2134,2845,figure,1000,1115,835,146
nips1856,2,2134,2845,text box,157,997,2138,83
nips1856,2,2134,2845,handwriting,1259,1199,137,63
nips1856,2,2134,2845,text box,586,741,1691,238
nips1856,2,2134,2845,text box,151,443,193,82
nips1856,3,2134,2845,title,848,162,1155,186
nips1856,3,2134,2845,figure,865,1406,1107,145
nips1856,3,2134,2845,text box,554,447,1800,87
nips1856,3,2134,2845,text box,158,998,2136,81
nips1856,3,2134,2845,text box,154,1299,1580,85
nips1856,9,2134,2845,text box,1132,114,570,270
nips1856,9,2134,2845,text box,573,1289,1714,505
nips1856,4,2134,2845,title,848,162,1156,186
nips1856,4,2134,2845,figure,852,1410,1120,133
nips1856,4,2134,2845,text box,553,447,1801,88
nips1856,4,2134,2845,text box,158,998,2136,81
nips1856,4,2134,2845,picture,2191,1293,488,496
nips1856,4,2134,2845,text box,583,743,1697,235
nips1856,4,2134,2845,text box,147,1293,1847,95
nips1856,4,2134,2845,figure,965,1113,901,150
nips1856,5,2134,2845,text box,523,460,1543,85
nips1856,5,2134,2845,title,741,168,1352,185
nips1856,0,2134,2845,text box,722,1096,1395,105
nips1856,0,2134,2845,text box,378,587,2096,348
nips1856,8,2134,2845,figure,419,1417,1981,382
nips1856,8,2134,2845,text box,522,461,1543,83
nips1856,8,2134,2845,title,745,172,1345,178
nips1856,8,2134,2845,figure,614,1006,1604,304
nips1856,8,2134,2845,figure,848,775,1138,142
nips18154,10,1500,2667,figure,373,2,1822,387
nips18154,10,1500,2667,figure,372,9,1497,325
nips18154,16,1500,2667,figure,381,3,1494,178
nips18154,16,1500,2667,figure,372,629,1849,98
nips18154,16,1500,2667,text box,375,444,854,77
nips18154,16,1500,2667,figure,1653,392,308,169
nips18154,7,1500,2667,text box,62,621,945,366
nips18154,7,1500,2667,text box,62,299,950,227
nips18154,7,1500,2667,text box,62,1073,924,303
nips18154,7,1500,2667,picture,1092,254,1508,375
nips18154,7,1500,2667,text box,62,49,555,154
nips18154,17,1500,2667,figure,387,822,1376,426
nips18154,17,1500,2667,figure,382,3,1492,178
nips18154,17,1500,2667,figure,374,628,1848,98
nips18154,17,1500,2667,text box,375,444,853,76
nips18154,17,1500,2667,figure,1654,392,307,168
nips18154,17,1500,2667,figure,1738,205,449,162
nips18154,1,1500,2667,text box,1863,311,628,421
nips18154,1,1500,2667,figure,930,149,827,123
nips18154,1,1500,2667,picture,1816,850,677,610
nips18154,1,1500,2667,title,335,18,2002,107
nips18154,1,1500,2667,text box,335,18,2002,107
nips18154,12,1500,2667,picture,440,1054,1857,333
nips18154,12,1500,2667,figure,379,4,1497,173
nips18154,14,1500,2667,picture,391,1046,1909,352
nips18154,14,1500,2667,text box,1028,1422,468,65
nips18154,14,1500,2667,figure,1664,400,303,161
nips18154,14,1500,2667,figure,379,4,1498,171
nips18154,14,1500,2667,figure,1737,204,451,163
nips18154,6,1500,2667,text box,42,172,2527,249
nips18154,6,1500,2667,figure,536,880,1067,219
nips18154,6,1500,2667,figure,543,538,1064,221
nips18154,6,1500,2667,text box,223,453,1009,78
nips18154,6,1500,2667,text box,553,1293,1354,50
nips18154,6,1500,2667,text box,225,791,876,74
nips18154,6,1500,2667,figure,555,1152,1162,82
nips18154,15,1500,2667,figure,381,837,1298,271
nips18154,15,1500,2667,figure,383,5,1490,165
nips18154,2,1500,2667,text box,295,33,2082,79
nips18154,18,1500,2667,text box,849,634,975,242
nips18154,3,1500,2667,picture,961,406,756,486
nips18154,3,1500,2667,text box,94,959,2220,159
nips18154,3,1500,2667,text box,99,225,1988,77
nips18154,3,1500,2667,text box,98,1151,1700,81
nips18154,3,1500,2667,text box,92,1269,1009,72
nips18154,3,1500,2667,title,293,33,2085,78
nips18154,11,1500,2667,picture,440,1054,1858,332
